timestamp;value
1638639231.2929;1040
1638639231.29294;1113
1638639231.2929795;1127
1638639231.2930193;1140
1638639231.293059;1129
1638639231.2930987;1127
1638639231.2931385;1145
1638639231.2931783;1150
1638639231.293218;1158
1638639231.2932577;1149
1638639231.2932973;1142
1638639231.293337;1125
1638639231.293377;1107
1638639231.2934165;1097
1638639231.2934563;1129
1638639231.2934961;1186
1638639231.29584;809
1638639231.2958794;802
1638639231.2959185;792
1638639231.2959578;773
1638639231.295997;752
1638639231.2960362;741
1638639231.2960753;768
1638639231.2961147;782
1638639231.2961538;789
1638639231.2961931;781
1638639231.2962322;801
1638639231.2962716;776
1638639231.2963107;753
1638639231.29635;778
1638639231.296389;764
1638639231.2964284;687
1638639231.296521;539
1638639231.2965262;550
1638639231.2965314;639
1638639231.2965367;841
1638639231.296542;837
1638639231.2965472;653
1638639231.2965524;470
1638639231.2965577;459
1638639231.2965627;612
1638639231.296568;634
1638639231.2965732;536
1638639231.2965784;440
1638639231.2965837;449
1638639231.296589;466
1638639231.2965941;485
1638639231.2965994;415
1638639231.296636;350
1638639231.2967153;378
1638639231.2967944;440
1638639231.2968736;488
1638639231.2969527;475
1638639231.2970319;466
1638639231.297111;482
1638639231.2971902;500
1638639231.2972693;525
1638639231.2973485;514
1638639231.2974277;573
1638639231.2975068;576
1638639231.297586;588
1638639231.297665;587
1638639231.2977443;547
1638639231.2978234;513
1638639231.297923;507
1638639231.2983038;550
1638639231.2986848;592
1638639231.2990656;608
1638639231.2994463;595
1638639231.2998273;553
1638639231.300208;521
1638639231.3005888;514
1638639231.3009698;491
1638639231.3013506;455
1638639231.3017316;426
1638639231.3021123;409
1638639231.302493;400
1638639231.302874;371
1638639231.3032548;373
1638639231.3036356;357
1638639231.303904;332
1638639231.3042808;318
1638639231.3046575;328
1638639231.3050342;355
1638639231.3054109;296
1638639231.3057876;267
1638639231.3061643;266
1638639231.306541;255
1638639231.3069177;251
1638639231.3072944;239
1638639231.307671;225
1638639231.3080478;225
1638639231.3084245;226
1638639231.3088012;239
1638639231.3091779;258
1638639231.3095546;275
1638639231.309811;268
1638639231.3101952;234
1638639231.3105793;240
1638639231.3109634;317
1638639231.3113475;364
1638639231.3117316;379
1638639231.312116;344
1638639231.3125;340
1638639231.312884;333
1638639231.3132682;341
1638639231.3136523;335
1638639231.3140364;335
1638639231.3144205;321
1638639231.3148046;329
1638639231.3151886;320
1638639231.3155727;310
1638639231.315834;299
1638639231.3162143;272
1638639231.3165948;248
1638639231.316975;247
1638639231.3173556;250
1638639231.317736;224
1638639231.3181164;224
1638639231.3184967;202
1638639231.318877;195
1638639231.3192575;195
1638639231.3196378;184
1638639231.3200183;188
1638639231.3203986;181
1638639231.3207788;179
1638639231.3211594;175
1638639231.3215396;165
1638639231.321802;147
1638639231.3221805;141
1638639231.3225594;163
1638639231.322938;196
1638639231.3233168;196
1638639231.3236954;202
1638639231.3240743;208
1638639231.3244529;204
1638639231.3248317;211
1638639231.3252103;225
1638639231.3255892;222
1638639231.3259678;221
1638639231.3263464;215
1638639231.3267252;233
1638639231.3271039;246
1638639231.3274827;236
1638639231.327733;254
1638639231.3281186;254
1638639231.328504;259
