timestamp,mcp angle,pip angle,dip angle
1637857955.292505,0.0,0.0,0.0
1637857955.352934,0.0,0.0,0.0
1637857955.3985927,0.0,0.0,0.0
1637857955.4308422,0.0,0.0,0.0
1637857955.4750597,0.0,0.0,0.0
1637857955.5262263,0.0,0.0,0.0
1637857955.581721,0.0,0.0,0.0
1637857955.6189694,0.0,0.0,0.0
1637857955.660683,0.0,0.0,0.0
1637857955.7111094,0.0,0.0,0.0
1637857955.7634099,0.0,0.0,0.0
1637857955.7979467,0.0,0.0,0.0
1637857955.8383682,0.0,0.0,0.0
1637857955.885053,0.0,0.0,0.0
1637857955.9452806,0.0,0.0,0.0
1637857955.9939046,0.0,0.0,0.0
1637857956.038028,0.0,0.0,0.0
1637857956.0808475,0.0,0.0,0.0
1637857956.1373506,0.0,0.0,0.0
1637857956.1721764,0.0,0.0,0.0
1637857956.2029486,0.0,0.0,0.0
1637857956.2330327,0.0,0.0,0.0
1637857956.266992,0.0,0.0,0.0
1637857956.2943482,0.0,0.0,0.0
1637857956.3261325,0.0,0.0,0.0
1637857956.3551645,0.0,0.0,0.0
1637857956.4073517,0.0,0.0,0.0
1637857956.439176,0.0,0.0,0.0
1637857956.4809828,0.0,0.0,0.0
1637857956.5318875,0.0,0.0,0.0
1637857956.566425,0.0,0.0,0.0
1637857956.6069446,0.0,0.0,0.0
1637857956.6356297,0.0,0.0,0.0
1637857956.668212,0.0,0.0,0.0
1637857956.7001107,0.0,0.0,0.0
1637857956.7484264,0.0,0.0,0.0
1637857956.790872,0.0,0.0,0.0
1637857956.8405392,0.0,0.0,0.0
1637857956.8713238,0.0,0.0,0.0
1637857956.9014134,0.0,0.0,0.0
1637857956.930467,0.0,0.0,0.0
1637857956.9631834,0.0,0.0,0.0
1637857956.99267,0.0,0.0,0.0
1637857957.0251539,0.0,0.0,0.0
1637857957.063877,0.0,0.0,0.0
1637857957.1024194,0.0,0.0,0.0
1637857957.1343782,0.0,0.0,0.0
1637857957.167255,0.0,0.0,0.0
1637857957.198173,0.0,0.0,0.0
1637857957.230298,0.0,0.0,0.0
1637857957.2610195,0.0,0.0,0.0
1637857957.2910414,0.0,0.0,0.0
1637857957.322005,0.0,0.0,0.0
1637857957.351823,0.0,0.0,0.0
1637857957.3812156,0.0,0.0,0.0
1637857957.4286125,0.0,0.0,0.0
1637857957.4800398,0.0,0.0,0.0
1637857957.5218253,0.0,0.0,0.0
1637857957.5681064,0.0,0.0,0.0
1637857957.6150491,0.0,0.0,0.0
1637857957.663717,0.0,0.0,0.0
1637857957.710187,0.0,0.0,0.0
1637857957.759268,0.0,0.0,0.0
1637857957.803986,0.0,0.0,0.0
1637857957.853305,0.0,0.0,0.0
1637857957.8980656,0.0,0.0,0.0
1637857957.9602299,0.0,0.0,0.0
1637857958.0220351,0.0,0.0,0.0
1637857958.0581174,0.0,0.0,0.0
1637857958.0840495,0.0,0.0,0.0
1637857958.1316156,0.0,0.0,0.0
1637857958.1640868,0.0,0.0,0.0
1637857958.1961095,0.0,0.0,0.0
1637857958.2270236,0.0,0.0,0.0
1637857958.261199,0.0,0.0,0.0
1637857958.3027027,0.0,0.0,0.0
1637857958.3407931,0.0,0.0,0.0
1637857958.379171,0.0,0.0,0.0
1637857958.4106936,0.0,0.0,0.0
1637857958.4407694,0.0,0.0,0.0
1637857958.470994,0.0,0.0,0.0
1637857958.5314167,0.0,0.0,0.0
1637857958.567427,0.0,0.0,0.0
1637857958.5952682,0.0,0.0,0.0
1637857958.6278095,0.0,0.0,0.0
1637857958.6599767,0.0,0.0,0.0
1637857958.6926699,0.0,0.0,0.0
1637857958.7250907,0.0,0.0,0.0
1637857958.7552447,0.0,0.0,0.0
1637857958.7877235,0.0,0.0,0.0
1637857958.8214178,0.0,0.0,0.0
1637857958.860498,0.0,0.0,0.0
1637857958.8931127,0.0,0.0,0.0
1637857958.9231179,0.0,0.0,0.0
1637857958.964308,0.0,0.0,0.0
1637857958.9991488,0.0,0.0,0.0
1637857959.048537,0.0,0.0,0.0
1637857959.0941365,0.0,0.0,0.0
1637857959.1407719,0.0,0.0,0.0
1637857959.1860511,0.0,0.0,0.0
1637857959.254119,0.0,0.0,0.0
1637857959.2850041,0.0,0.0,0.0
1637857959.3274288,0.0,0.0,0.0
1637857959.3739886,0.0,0.0,0.0
1637857959.4060037,0.0,0.0,0.0
1637857959.4364219,0.0,0.0,0.0
1637857959.4681067,0.0,0.0,0.0
1637857959.4981494,0.0,0.0,0.0
1637857959.5283084,0.0,0.0,0.0
1637857959.5581427,0.0,0.0,0.0
1637857959.5914948,0.0,0.0,0.0
1637857959.6210427,0.0,0.0,0.0
1637857959.6539598,0.0,0.0,0.0
1637857959.683975,0.0,0.0,0.0
1637857959.7167714,0.0,0.0,0.0
1637857959.750553,0.0,0.0,0.0
1637857959.77933,0.0,0.0,0.0
1637857959.8123183,0.0,0.0,0.0
1637857959.8425205,0.0,0.0,0.0
1637857959.8904028,0.0,0.0,0.0
1637857959.9312935,0.0,0.0,0.0
1637857959.963382,0.0,0.0,0.0
1637857959.994955,0.0,0.0,0.0
